OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
2021,2021-10-05,2230,2021,2021-10-08,1230,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,black,None,None,none,2slgbtq+,None,YES,Mischief Under $5000,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO
2021,2021-10-06,1946,2021,2021-10-06,1946,D52,Other Commercial / Corporate Places ,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO
2021,2021-10-06,1520,2021,2021-10-07,1100,D55,Streets/Roadways/Highway,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,070,South Riverdale (70),070,South Riverdale (70),NO
2021,2021-10-07,839,2021,2021-10-07,1023,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,035,Westminster-Branson (35),035,Westminster-Branson (35),NO
2021,2021-10-08,2030,2021,2021-10-08,2048,D51,"Open Area, Park or Parking Lot",NO,NO,none,None,None,none,gay,None,NO,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),YES
2021,2021-10-08,809,2021,2021-10-08,809,D52,Streets/Roadways/Highway,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO
2021,2021-10-10,1845,2021,2021-10-13,1027,D32,Other Commercial / Corporate Places ,NO,NO,black,None,None,none,none,None,NO,Mischief Under $5000,153,Avondale (153),051,Willowdale East (51),NO
2021,2021-10-11,2115,2021,2021-10-11,2144,D52,Streets/Roadways/Highway,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO
2021,2021-10-12,1530,2021,2021-10-12,2208,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,muslim,none,None,NO,Assault,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),YES
2021,2021-10-12,2013,2021,2021-10-12,2013,D14,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,none,2slgbtq+,None,NO,Mischief Under $5000,083,Dufferin Grove (83),083,Dufferin Grove (83),NO
2021,2021-10-15,1610,2021,2021-10-15,1627,D42,Other Commercial / Corporate Places ,NO,NO,none,Korean,None,none,none,None,NO,Assault,116,Steeles (116),116,Steeles (116),NO
2021,2021-10-17,1430,2021,2021-10-17,2058,D52,"Open Area, Park or Parking Lot",NO,NO,black,None,None,none,none,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO
2021,2021-10-18,1815,2021,2021-11-07,507,D53,Public Transportation,NO,NO,black,None,None,none,none,None,NO,Assault,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),YES
2021,2021-10-20,1835,2021,2021-10-22,1057,D42,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,none,none,None,NO,Disturbing Religious Worship Or Certain Meetings,129,Agincourt North (129),129,Agincourt North (129),NO
2021,2021-10-21,1320,2021,2021-10-21,1624,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,103,Lawrence Park South (103),103,Lawrence Park South (103),NO
2021,2021-10-25,1200,2022,2022-05-17,2136,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,none,none,Transgender Woman (Identifies As Woman),NO,Assault,062,East End-Danforth (62),062,East End-Danforth (62),YES
2021,2021-10-28,926,2021,2021-11-25,1253,D22,Public Transportation,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,015,Kingsway South (15),015,Kingsway South (15),NO
2021,2021-10-29,2000,2021,2021-10-30,1409,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,Chinese,None,none,none,None,NO,Mischief Under $5000,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
2021,2021-10-31,241,2021,2021-10-31,241,D51,"Open Area, Park or Parking Lot",NO,NO,none,None,None,none,lesbian,None,NO,Mischief Under $5000,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
2021,2021-10-31,1953,2021,2021-10-31,1954,D42,"Open Area, Park or Parking Lot",NO,NO,none,None,None,none,2slgbtq+,None,NO,Assault,146,Malvern East (146),132,Malvern (132),NO
2021,2021-11-03,844,2021,2021-11-03,844,D51,Streets/Roadways/Highway,NO,NO,none,Chinese,None,none,none,None,NO,Assault Causing Bodily Harm,073,Moss Park (73),073,Moss Park (73),YES
2021,2021-11-03,1815,2021,2021-11-04,1541,D41,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,south asian,None,None,none,none,None,NO,Harassing Communications,123,Cliffcrest (123),123,Cliffcrest (123),NO
2021,2021-11-06,1430,2021,2021-11-08,1320,D23,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,jewish,2slgbtq+,None,YES,Mischief Under $5000,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),NO
2021,2021-11-07,0,2021,2021-11-09,1547,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,059,Danforth East York (59),059,Danforth East York (59),NO
2021,2021-11-08,1300,2021,2021-11-08,2321,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,Chinese,None,jewish,none,None,YES,Mischief Under $5000,095,Annex (95),095,Annex (95),NO
2021,2021-11-09,1857,2021,2021-11-09,1857,D31,Religious Place of Worship/Cultural Centre,NO,NO,none,None,None,muslim,none,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),YES
2021,2021-11-10,802,2021,2021-11-10,802,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),NO
2021,2021-11-11,900,2021,2021-11-28,1457,D12,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,black,None,None,none,none,None,NO,Criminal Harassment,115,Mount Dennis (115),115,Mount Dennis (115),YES
2021,2021-11-14,1613,2022,2022-02-25,836,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Interfere With Property,034,Bathurst Manor (34),034,Bathurst Manor (34),NO
2021,2021-11-14,1030,2021,2021-11-14,1258,D22,"Open Area, Park or Parking Lot",NO,NO,black,None,None,jewish,none,None,YES,Mischief Under $5000,018,New Toronto (18),018,New Toronto (18),NO
2021,2021-11-15,1,2022,2022-01-12,1841,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,black,None,None,none,none,None,NO,Uttering Threats - Bodily Harm,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES
2021,2021-11-15,2200,2021,2021-11-16,129,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,none,gay,None,NO,Uttering Threats - Bodily Harm,050,Newtonbrook East (50),050,Newtonbrook East (50),NO
2021,2021-11-20,1647,2021,2021-11-20,1647,D22,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,158,Islington (158),014,Islington-City Centre West (14),NO
